instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
223026437,871197,BANKEX26MAYFUT,BANKEX,0.0,2026-05-27,0.0,0.05,30,FUT,BFO-FUT,BFO
283531013,1107543,BANKEX26JUNFUT,BANKEX,0.0,2026-06-25,0.0,0.05,30,FUT,BFO-FUT,BFO
293449733,1146288,BANKEX26JULFUT,BANKEX,0.0,2026-07-30,0.0,0.05,30,FUT,BFO-FUT,BFO
222776325,870220,SENSEX26MAYFUT,SENSEX,0.0,2026-05-27,0.0,0.05,20,FUT,BFO-FUT,BFO
283100933,1105863,SENSEX26JUNFUT,SENSEX,0.0,2026-06-25,0.0,0.05,20,FUT,BFO-FUT,BFO
292993797,1144507,SENSEX26JULFUT,SENSEX,0.0,2026-07-30,0.0,0.05,20,FUT,BFO-FUT,BFO
223939333,874763,SENSEX5026MAYFUT,SENSEX50,0.0,2026-05-27,0.0,0.05,75,FUT,BFO-FUT,BFO
284530181,1111446,SENSEX5026JUNFUT,SENSEX50,0.0,2026-06-25,0.0,0.05,75,FUT,BFO-FUT,BFO
291452421,1138486,SENSEX5026JULFUT,SENSEX50,0.0,2026-07-30,0.0,0.05,75,FUT,BFO-FUT,BFO
223856133,874438,BANKEX26MAY63100CE,BANKEX,0.0,2026-05-27,63100.0,0.05,30,CE,BFO-OPT,BFO
224254469,875994,BANKEX26MAY63100PE,BANKEX,0.0,2026-05-27,63100.0,0.05,30,PE,BFO-OPT,BFO
223665413,873693,BANKEX26MAY63000PE,BANKEX,0.0,2026-05-27,63000.0,0.05,30,PE,BFO-OPT,BFO
224322821,876261,BANKEX26MAY63000CE,BANKEX,0.0,2026-05-27,63000.0,0.05,30,CE,BFO-OPT,BFO
223370245,872540,BANKEX26MAY63200CE,BANKEX,0.0,2026-05-27,63200.0,0.05,30,CE,BFO-OPT,BFO
223791621,874186,BANKEX26MAY63200PE,BANKEX,0.0,2026-05-27,63200.0,0.05,30,PE,BFO-OPT,BFO
222510853,869183,BANKEX26MAY62900PE,BANKEX,0.0,2026-05-27,62900.0,0.05,30,PE,BFO-OPT,BFO
223187717,871827,BANKEX26MAY62900CE,BANKEX,0.0,2026-05-27,62900.0,0.05,30,CE,BFO-OPT,BFO
222421253,868833,BANKEX26MAY63300PE,BANKEX,0.0,2026-05-27,63300.0,0.05,30,PE,BFO-OPT,BFO
223973637,874897,BANKEX26MAY63300CE,BANKEX,0.0,2026-05-27,63300.0,0.05,30,CE,BFO-OPT,BFO
222579973,869453,BANKEX26MAY62800CE,BANKEX,0.0,2026-05-27,62800.0,0.05,30,CE,BFO-OPT,BFO
222996741,871081,BANKEX26MAY62800PE,BANKEX,0.0,2026-05-27,62800.0,0.05,30,PE,BFO-OPT,BFO
223493637,873022,BANKEX26MAY63400CE,BANKEX,0.0,2026-05-27,63400.0,0.05,30,CE,BFO-OPT,BFO
223906565,874635,BANKEX26MAY63400PE,BANKEX,0.0,2026-05-27,63400.0,0.05,30,PE,BFO-OPT,BFO
223061765,871335,BANKEX26MAY62700CE,BANKEX,0.0,2026-05-27,62700.0,0.05,30,CE,BFO-OPT,BFO
223481093,872973,BANKEX26MAY62700PE,BANKEX,0.0,2026-05-27,62700.0,0.05,30,PE,BFO-OPT,BFO
222554117,869352,BANKEX26MAY63500PE,BANKEX,0.0,2026-05-27,63500.0,0.05,30,PE,BFO-OPT,BFO
224093957,875367,BANKEX26MAY63500CE,BANKEX,0.0,2026-05-27,63500.0,0.05,30,CE,BFO-OPT,BFO
222447365,868935,BANKEX26MAY62600CE,BANKEX,0.0,2026-05-27,62600.0,0.05,30,CE,BFO-OPT,BFO
222868229,870579,BANKEX26MAY62600PE,BANKEX,0.0,2026-05-27,62600.0,0.05,30,PE,BFO-OPT,BFO
223622149,873524,BANKEX26MAY63600CE,BANKEX,0.0,2026-05-27,63600.0,0.05,30,CE,BFO-OPT,BFO
224027653,875108,BANKEX26MAY63600PE,BANKEX,0.0,2026-05-27,63600.0,0.05,30,PE,BFO-OPT,BFO
222937093,870848,BANKEX26MAY62500CE,BANKEX,0.0,2026-05-27,62500.0,0.05,30,CE,BFO-OPT,BFO
223355653,872483,BANKEX26MAY62500PE,BANKEX,0.0,2026-05-27,62500.0,0.05,30,PE,BFO-OPT,BFO
223551749,873249,BANKEX26MAY63700PE,BANKEX,0.0,2026-05-27,63700.0,0.05,30,PE,BFO-OPT,BFO
224213253,875833,BANKEX26MAY63700CE,BANKEX,0.0,2026-05-27,63700.0,0.05,30,CE,BFO-OPT,BFO
222741509,870084,BANKEX26MAY62400PE,BANKEX,0.0,2026-05-27,62400.0,0.05,30,PE,BFO-OPT,BFO
224283653,876108,BANKEX26MAY62400CE,BANKEX,0.0,2026-05-27,62400.0,0.05,30,CE,BFO-OPT,BFO
223752453,874033,BANKEX26MAY63800CE,BANKEX,0.0,2026-05-27,63800.0,0.05,30,CE,BFO-OPT,BFO
224148485,875580,BANKEX26MAY63800PE,BANKEX,0.0,2026-05-27,63800.0,0.05,30,PE,BFO-OPT,BFO
223682053,873758,BANKEX26MAY63900PE,BANKEX,0.0,2026-05-27,63900.0,0.05,30,PE,BFO-OPT,BFO
222820613,870393,BANKEX26MAY78300CE,BANKEX,0.0,2026-05-27,78300.0,0.05,30,CE,BFO-OPT,BFO
223240965,872035,BANKEX26MAY78300PE,BANKEX,0.0,2026-05-27,78300.0,0.05,30,PE,BFO-OPT,BFO
222626821,869636,BANKEX26MAY78200PE,BANKEX,0.0,2026-05-27,78200.0,0.05,30,PE,BFO-OPT,BFO
223307525,872295,BANKEX26MAY78200CE,BANKEX,0.0,2026-05-27,78200.0,0.05,30,CE,BFO-OPT,BFO
222694917,869902,BANKEX26MAY78100CE,BANKEX,0.0,2026-05-27,78100.0,0.05,30,CE,BFO-OPT,BFO
223111941,871531,BANKEX26MAY78100PE,BANKEX,0.0,2026-05-27,78100.0,0.05,30,PE,BFO-OPT,BFO
223179781,871796,BANKEX26MAY78000CE,BANKEX,0.0,2026-05-27,78000.0,0.05,30,CE,BFO-OPT,BFO
223602693,873448,BANKEX26MAY78000PE,BANKEX,0.0,2026-05-27,78000.0,0.05,30,PE,BFO-OPT,BFO
222441477,868912,BANKEX26MAY77900PE,BANKEX,0.0,2026-05-27,77900.0,0.05,30,PE,BFO-OPT,BFO
223993861,874976,BANKEX26MAY77900CE,BANKEX,0.0,2026-05-27,77900.0,0.05,30,CE,BFO-OPT,BFO
223390725,872620,BANKEX26MAY77800CE,BANKEX,0.0,2026-05-27,77800.0,0.05,30,CE,BFO-OPT,BFO
223810565,874260,BANKEX26MAY77800PE,BANKEX,0.0,2026-05-27,77800.0,0.05,30,PE,BFO-OPT,BFO
223874309,874509,BANKEX26MAY77700CE,BANKEX,0.0,2026-05-27,77700.0,0.05,30,CE,BFO-OPT,BFO
224277765,876085,BANKEX26MAY77700PE,BANKEX,0.0,2026-05-27,77700.0,0.05,30,PE,BFO-OPT,BFO
223687429,873779,BANKEX26MAY77600PE,BANKEX,0.0,2026-05-27,77600.0,0.05,30,PE,BFO-OPT,BFO
224342277,876337,BANKEX26MAY77600CE,BANKEX,0.0,2026-05-27,77600.0,0.05,30,CE,BFO-OPT,BFO
223758853,874058,BANKEX26MAY77500CE,BANKEX,0.0,2026-05-27,77500.0,0.05,30,CE,BFO-OPT,BFO
224153605,875600,BANKEX26MAY77500PE,BANKEX,0.0,2026-05-27,77500.0,0.05,30,PE,BFO-OPT,BFO
223560709,873284,BANKEX26MAY77400PE,BANKEX,0.0,2026-05-27,77400.0,0.05,30,PE,BFO-OPT,BFO
224219397,875857,BANKEX26MAY77400CE,BANKEX,0.0,2026-05-27,77400.0,0.05,30,CE,BFO-OPT,BFO
223630085,873555,BANKEX26MAY77300CE,BANKEX,0.0,2026-05-27,77300.0,0.05,30,CE,BFO-OPT,BFO
