instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
16914178,66071,NIFTY26MAYFUT,NIFTY,0.0,2026-05-26,0.0,0.1,65,FUT,NFO-FUT,NFO
15956226,62329,NIFTY26JUNFUT,NIFTY,0.0,2026-06-30,0.0,0.1,65,FUT,NFO-FUT,NFO
15639810,61093,NIFTY26JULFUT,NIFTY,0.0,2026-07-28,0.0,0.1,65,FUT,NFO-FUT,NFO
16913410,66068,BANKNIFTY26MAYFUT,BANKNIFTY,0.0,2026-05-26,0.0,0.2,30,FUT,NFO-FUT,NFO
15955458,62326,BANKNIFTY26JUNFUT,BANKNIFTY,0.0,2026-06-30,0.0,0.2,30,FUT,NFO-FUT,NFO
15638530,61088,BANKNIFTY26JULFUT,BANKNIFTY,0.0,2026-07-28,0.0,0.2,30,FUT,NFO-FUT,NFO
16914690,66073,360ONE26MAYFUT,360ONE,0.0,2026-05-26,0.0,0.1,500,FUT,NFO-FUT,NFO
15956738,62331,360ONE26JUNFUT,360ONE,0.0,2026-06-30,0.0,0.1,500,FUT,NFO-FUT,NFO
15640322,61095,360ONE26JULFUT,360ONE,0.0,2026-07-28,0.0,0.1,500,FUT,NFO-FUT,NFO
16914946,66074,ABB26MAYFUT,ABB,0.0,2026-05-26,0.0,0.5,125,FUT,NFO-FUT,NFO
15956994,62332,ABB26JUNFUT,ABB,0.0,2026-06-30,0.0,0.5,125,FUT,NFO-FUT,NFO
15640578,61096,ABB26JULFUT,ABB,0.0,2026-07-28,0.0,0.5,125,FUT,NFO-FUT,NFO
16915202,66075,ABCAPITAL26MAYFUT,ABCAPITAL,0.0,2026-05-26,0.0,0.05,3100,FUT,NFO-FUT,NFO
15957250,62333,ABCAPITAL26JUNFUT,ABCAPITAL,0.0,2026-06-30,0.0,0.05,3100,FUT,NFO-FUT,NFO
15640834,61097,ABCAPITAL26JULFUT,ABCAPITAL,0.0,2026-07-28,0.0,0.05,3100,FUT,NFO-FUT,NFO
16915458,66076,ADANIENSOL26MAYFUT,ADANIENSOL,0.0,2026-05-26,0.0,0.1,675,FUT,NFO-FUT,NFO
15959554,62342,ADANIENSOL26JUNFUT,ADANIENSOL,0.0,2026-06-30,0.0,0.1,675,FUT,NFO-FUT,NFO
15641090,61098,ADANIENSOL26JULFUT,ADANIENSOL,0.0,2026-07-28,0.0,0.1,675,FUT,NFO-FUT,NFO
16915714,66077,ADANIENT26MAYFUT,ADANIENT,0.0,2026-05-26,0.0,0.1,309,FUT,NFO-FUT,NFO
15959810,62343,ADANIENT26JUNFUT,ADANIENT,0.0,2026-06-30,0.0,0.1,309,FUT,NFO-FUT,NFO
15641346,61099,ADANIENT26JULFUT,ADANIENT,0.0,2026-07-28,0.0,0.1,309,FUT,NFO-FUT,NFO
16915970,66078,ADANIGREEN26MAYFUT,ADANIGREEN,0.0,2026-05-26,0.0,0.1,600,FUT,NFO-FUT,NFO
15960066,62344,ADANIGREEN26JUNFUT,ADANIGREEN,0.0,2026-06-30,0.0,0.1,600,FUT,NFO-FUT,NFO
